time,,,MPC,RL,RL_opal_RT
1.92,0.00050153,0.000128746,501.53,128.7460327,1.10E+02
1.94,0.00050048,0.000134468,500.48,134.4680786,1.10E+02
1.96,0.00050153,0.000132799,501.53,132.7991486,1.10E+02
1.98,0.00050118,0.000126839,501.18,126.8386841,1.09E+02
2,0.00050132,0.000131845,501.32,131.8454742,1.09E+02
2.02,0.00050062,0.00014019,500.62,140.1901245,1.10E+02
2.04,0.00050125,0.000123978,501.25,123.9776611,1.09E+02
2.06,0.00050656,0.00014329,506.56,143.289566,1.10E+02
2.08,0.00050027,0.000136852,500.27,136.8522644,1.10E+02
2.1,0.00050104,0.000135183,501.04,135.1833344,1.10E+02
2.12,0.00050111,0.000137806,501.11,137.8059387,1.10E+02
2.14,0.00050181,0.00014925,501.81,149.2500305,1.10E+02
2.16,0.00050607,0.0001266,506.07,126.6002655,1.10E+02
2.18,0.00050041,0.000139952,500.41,139.9517059,1.10E+02
2.2,0.00050223,0.000136614,502.23,136.6138458,1.10E+02
2.22,0.00049992,0.000124454,499.92,124.4544983,1.10E+02
2.24,0.00050104,0.000128031,501.04,128.030777,1.10E+02
2.26,0.00050649,0.000130415,506.49,130.4149628,1.10E+02
2.28,0.00050055,0.000135183,500.55,135.1833344,1.10E+02
2.3,0.00050013,0.000165462,500.13,165.4624939,1.10E+02
2.32,0.00050034,0.000142097,500.34,142.0974731,1.10E+02
2.34,0.00050097,0.000121355,500.97,121.3550568,1.10E+02
2.36,0.00050607,0.000153303,506.07,153.3031464,1.10E+02
2.38,0.00050139,0.000164032,501.39,164.0319824,1.10E+02
2.4,0.00050153,0.000150681,501.53,150.680542,1.10E+02
2.42,0.00050083,0.000134468,500.83,134.4680786,1.10E+02
2.44,0.00050069,0.000160456,500.69,160.4557037,1.10E+02
2.46,0.0004993,0.000150919,499.3,150.9189606,1.10E+02
2.48,0.00050223,0.000149965,502.23,149.9652863,1.10E+02
2.5,0.00050041,0.000165701,500.41,165.7009125,1.10E+02
2.52,0.00050069,0.000156403,500.69,156.4025879,1.10E+02
2.54,0.00050118,0.000125408,501.18,125.4081726,1.10E+02
2.56,0.00050055,0.000135183,500.55,135.1833344,1.10E+02
2.58,0.00050055,0.000124454,500.55,124.4544983,1.10E+02
2.6,0.00050174,0.000134945,501.74,134.9449158,1.10E+02
2.62,0.0005009,0.000125885,500.9,125.8850098,1.10E+02
2.64,0.00049978,0.000118017,499.78,118.0171967,1.10E+02
2.66,0.00050055,0.000118494,500.55,118.4940338,1.10E+02
2.68,0.00050642,0.0001297,506.42,129.699707,1.10E+02
2.7,0.00050006,0.0001266,500.06,126.6002655,1.10E+02
2.72,0.00049992,0.000133514,499.92,133.5144043,1.10E+02
2.74,0.00050062,0.000127554,500.62,127.5539398,1.10E+02
2.76,0.00050097,0.000136614,500.97,136.6138458,1.10E+02
2.78,0.00050621,0.000130653,506.21,130.6533813,1.10E+02
2.8,0.0005009,0.000131607,500.9,131.6070557,1.10E+02
2.82,0.00050041,0.000130177,500.41,130.1765442,1.10E+02
2.84,0.00049999,0.000130653,499.99,130.6533813,1.10E+02
2.86,0.00050076,0.000123262,500.76,123.2624054,1.10E+02
2.88,0.00050635,0.000118732,506.35,118.7324524,1.10E+02
2.9,0.00050041,0.000136137,500.41,136.1370087,1.10E+02
2.92,0.00049881,0.00013113,498.81,131.1302185,1.10E+02
2.94,0.00050034,0.000128984,500.34,128.9844513,1.10E+02
2.96,0.0005002,0.00012207,500.2,122.0703125,1.10E+02
2.98,0.00050593,0.000131845,505.93,131.8454742,1.10E+02
3,0.00050034,0.000141859,500.34,141.8590546,1.10E+02
3.02,0.00050118,0.00013113,501.18,131.1302185,1.10E+02
3.04,0.00050132,0.000139713,501.32,139.7132874,1.10E+02
3.06,0.00050132,0.000124693,501.32,124.6929169,1.10E+02
3.08,0.00050048,0.000124216,500.48,124.2160797,1.10E+02
3.1,0.00049999,0.000121832,499.99,121.8318939,1.10E+02
3.12,0.00049922,0.000115633,499.22,115.6330109,1.10E+02
3.14,0.00049985,0.000131607,499.85,131.6070557,1.10E+02
3.16,0.00050013,0.00013113,500.13,131.1302185,1.10E+02
3.18,0.00050083,0.000137806,500.83,137.8059387,1.10E+02
3.2,0.00050104,0.000125885,501.04,125.8850098,1.10E+02
3.22,0.00049958,0.000125647,499.58,125.6465912,1.10E+02
3.24,0.0005002,0.0001297,500.2,129.699707,1.10E+02
3.26,0.00049909,0.000123978,499.09,123.9776611,1.10E+02
3.28,0.00049902,0.000125647,499.02,125.6465912,1.10E+02
3.3,0.00050628,0.000125885,506.28,125.8850098,1.10E+02
3.32,0.00050013,0.000127792,500.13,127.7923584,1.10E+02
3.34,0.00050132,0.000132799,501.32,132.7991486,1.10E+02
3.36,0.00050013,0.000137806,500.13,137.8059387,1.10E+02
3.38,0.00049936,0.000148535,499.36,148.5347748,1.10E+02
3.4,0.00050607,0.000151634,506.07,151.6342163,1.10E+02
3.42,0.00050083,0.000158072,500.83,158.0715179,1.10E+02
3.44,0.00050027,0.00013876,500.27,138.759613,1.10E+02
3.46,0.00049971,0.000152826,499.71,152.8263092,1.10E+02
3.48,0.0005009,0.000127316,500.9,127.3155212,1.10E+02
3.5,0.00050551,0.000130415,505.51,130.4149628,1.10E+02
3.52,0.00049944,0.000140905,499.44,140.9053802,1.10E+02
3.54,0.00050104,0.000133753,501.04,133.7528229,1.10E+02
3.56,0.00049985,0.000123978,499.85,123.9776611,1.10E+02
3.58,0.00049874,0.000127554,498.74,127.5539398,1.10E+02
3.6,0.00050083,0.000129461,500.83,129.4612885,1.10E+02
3.62,0.0005009,0.000129461,500.9,129.4612885,1.10E+02
3.64,0.00050048,0.000132561,500.48,132.56073,1.10E+02
3.66,0.00049992,0.000133991,499.92,133.9912415,1.10E+02
3.68,0.00050083,0.000134706,500.83,134.7064972,1.10E+02
3.7,0.0005009,0.000135899,500.9,135.8985901,1.10E+02
3.72,0.00049999,0.000127554,499.99,127.5539398,1.10E+02
3.74,0.00050069,0.000128269,500.69,128.2691956,1.10E+02
3.76,0.0005002,0.000129461,500.2,129.4612885,1.10E+02
3.78,0.00050104,0.000127554,501.04,127.5539398,1.10E+02
3.8,0.00049929,0.000126362,499.29,126.3618469,1.10E+02
3.82,0.00050509,0.000132561,505.09,132.56073,1.10E+02
3.84,0.00050111,0.000126123,501.11,126.1234283,1.10E+02
3.86,0.00050076,0.000124216,500.76,124.2160797,1.10E+02
3.88,0.00049867,0.000129223,498.67,129.2228699,1.10E+02
3.9,0.00050027,0.00012517,500.27,125.169754,1.10E+02
3.92,0.00050565,0.000141859,505.65,141.8590546,1.10E+02
3.94,0.00049978,0.000133038,499.78,133.0375671,1.10E+02
3.96,0.00050048,0.000128031,500.48,128.030777,1.10E+02
